"","I","II","III","IV","p","test"
"n","60","76","75","17","",""
"BMI (median [IQR])","28.26 [25.44, 31.46]","26.43 [23.30, 29.76]","26.97 [22.90, 29.58]","20.23 [19.14, 26.60]","0.004","nonnorm"
"Age (median [IQR])","66.56 [61.92, 72.73]","66.94 [60.41, 72.44]","66.06 [57.71, 71.40]","57.46 [55.67, 66.63]","0.019","nonnorm"
"Sex = Male (%)","34 (56.7)","58 (76.3)","48 (64.0)","15 (88.2)","0.021",""
"Stage (%)","","","","","<0.001",""
"   I","60 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","",""
"   II","0 (0.0)","76 (100.0)","0 (0.0)","0 (0.0)","",""
"   III","0 (0.0)","0 (0.0)","75 (100.0)","0 (0.0)","",""
"   IV","0 (0.0)","0 (0.0)","0 (0.0)","17 (100.0)","",""
"Histology = Squamous Cell Carcinoma (%)","60 (100.0)","76 (100.0)","75 (100.0)","17 (100.0)","NA",""
"Primary_Met = Metastatic (%)","1 (1.7)","2 (2.6)","0 (0.0)","1 (5.9)","0.339",""
"status_f = Death (%)","28 (46.7)","33 (43.4)","40 (53.3)","13 (76.5)","0.083",""
"diagsurvtime (median [IQR])","3.71 [1.94, 6.11]","3.17 [2.25, 6.35]","3.08 [1.44, 4.95]","2.68 [0.80, 7.26]","0.275","nonnorm"
"SmokingStatus (%)","","","","","0.668",""
"   Never","3 (5.0)","3 (3.9)","3 (4.1)","1 (5.9)","",""
"   Former/Ever","46 (76.7)","49 (64.5)","53 (71.6)","10 (58.8)","",""
"   Current","10 (16.7)","20 (26.3)","16 (21.6)","4 (23.5)","",""
"   Unknown","1 (1.7)","4 (5.3)","2 (2.7)","2 (11.8)","",""
"CAlevel = High (%)","13 (21.7)","19 (25.0)","20 (26.7)","3 (17.6)","0.829",""
"ever_Chemo = TRUE (%)","34 (56.7)","54 (71.1)","58 (77.3)","8 (47.1)","0.017",""
"ever_IO = TRUE (%)","13 (21.7)","12 (15.8)","17 (22.7)","6 (35.3)","0.324",""
"ever_Chemo_IO = TRUE (%)","9 (15.0)","11 (14.5)","16 (21.3)","5 (29.4)","0.381",""
"concurrent_Chemo_IO = TRUE (%)","3 (5.0)","3 (3.9)","4 (5.3)","3 (17.6)","0.170",""
"ever_Rad = TRUE (%)","24 (40.0)","27 (35.5)","34 (45.3)","5 (29.4)","0.512",""
"ever_Chemo_Rad = TRUE (%)","13 (21.7)","18 (23.7)","26 (34.7)","3 (17.6)","0.231",""
"concurrent_Chemo_rad = TRUE (%)","6 (10.0)","12 (15.8)","11 (14.7)","1 (5.9)","0.589",""
"ever_Target = TRUE (%)","1 (1.7)","1 (1.3)","1 (1.3)","0 (0.0)","0.963",""
"ever_SM = TRUE (%)","2 (3.3)","6 (7.9)","1 (1.3)","2 (11.8)","0.131",""
"ever_Horm = TRUE (%)","0 (0.0)","2 (2.6)","2 (2.7)","2 (11.8)","0.067",""
"ever_Anc = TRUE (%)","32 (53.3)","29 (38.2)","26 (34.7)","9 (52.9)","0.106",""
"ever_Other = FALSE (%)","60 (100.0)","76 (100.0)","75 (100.0)","17 (100.0)","NA",""
