"","level","I","II","III","IV","p","test"
"n","","237","240","228","69","",""
"BMI (median [IQR])","","26.73 [23.26, 31.04]","26.98 [23.30, 30.83]","26.28 [23.11, 30.08]","24.98 [20.22, 28.86]","0.050","nonnorm"
"Age (median [IQR])","","65.42 [59.18, 70.51]","64.14 [58.71, 71.75]","65.56 [58.24, 71.42]","59.06 [54.70, 66.63]","<0.001","nonnorm"
"Sex (%)","Female","140 (59.1)","120 (50.0)","111 (48.7)","26 (37.7)","0.009",""
"","Male","97 (40.9)","120 (50.0)","117 (51.3)","43 (62.3)","",""
"Stage (%)","I","237 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","<0.001",""
"","II","0 (0.0)","240 (100.0)","0 (0.0)","0 (0.0)","",""
"","III","0 (0.0)","0 (0.0)","228 (100.0)","0 (0.0)","",""
"","IV","0 (0.0)","0 (0.0)","0 (0.0)","69 (100.0)","",""
"Histology (%)","Adenocarcinoma","141 (70.1)","139 (64.7)","134 (64.1)","41 (70.7)","0.471",""
"","Squamous Cell Carcinoma","60 (29.9)","76 (35.3)","75 (35.9)","17 (29.3)","",""
"Primary_Met (%)","Primary","232 (97.9)","234 (97.5)","224 (98.2)","61 (88.4)","<0.001",""
"","Metastatic","5 (2.1)","6 (2.5)","4 (1.8)","8 (11.6)","",""
"status_f (%)","Alive","151 (63.7)","155 (64.6)","126 (55.3)","25 (36.2)","<0.001",""
"","Death","86 (36.3)","85 (35.4)","102 (44.7)","44 (63.8)","",""
"diagsurvtime (median [IQR])","","3.96 [1.71, 6.30]","3.14 [1.73, 5.38]","2.91 [1.56, 4.64]","3.45 [1.46, 5.25]","0.048","nonnorm"
"SmokingStatus (%)","Never","40 (17.8)","23 (9.9)","39 (17.5)","9 (13.2)","0.060",""
"","Former/Ever","139 (61.8)","142 (60.9)","138 (61.9)","38 (55.9)","",""
"","Current","35 (15.6)","56 (24.0)","41 (18.4)","19 (27.9)","",""
"","Unknown","11 (4.9)","12 (5.2)","5 (2.2)","2 (2.9)","",""
"CAlevel (%)","Low","193 (81.4)","190 (79.2)","166 (72.8)","45 (65.2)","0.013",""
"","High","44 (18.6)","50 (20.8)","62 (27.2)","24 (34.8)","",""
"ever_Chemo (%)","FALSE","117 (49.4)","73 (30.4)","60 (26.3)","27 (39.1)","<0.001",""
"","TRUE","120 (50.6)","167 (69.6)","168 (73.7)","42 (60.9)","",""
"ever_IO (%)","FALSE","198 (83.5)","201 (83.8)","183 (80.3)","43 (62.3)","0.001",""
"","TRUE","39 (16.5)","39 (16.2)","45 (19.7)","26 (37.7)","",""
"ever_Chemo_IO (%)","FALSE","206 (86.9)","207 (86.2)","189 (82.9)","48 (69.6)","0.004",""
"","TRUE","31 (13.1)","33 (13.8)","39 (17.1)","21 (30.4)","",""
"concurrent_Chemo_IO (%)","FALSE","221 (93.2)","227 (94.6)","209 (91.7)","57 (82.6)","0.011",""
"","TRUE","16 (6.8)","13 (5.4)","19 (8.3)","12 (17.4)","",""
"ever_Rad (%)","FALSE","143 (60.3)","162 (67.5)","129 (56.6)","44 (63.8)","0.100",""
"","TRUE","94 (39.7)","78 (32.5)","99 (43.4)","25 (36.2)","",""
"ever_Chemo_Rad (%)","FALSE","179 (75.5)","194 (80.8)","156 (68.4)","56 (81.2)","0.011",""
"","TRUE","58 (24.5)","46 (19.2)","72 (31.6)","13 (18.8)","",""
"concurrent_Chemo_rad (%)","FALSE","209 (88.2)","215 (89.6)","201 (88.2)","66 (95.7)","0.315",""
"","TRUE","28 (11.8)","25 (10.4)","27 (11.8)","3 (4.3)","",""
"ever_Target (%)","FALSE","234 (98.7)","236 (98.3)","225 (98.7)","65 (94.2)","0.075",""
"","TRUE","3 (1.3)","4 (1.7)","3 (1.3)","4 (5.8)","",""
"ever_SM (%)","FALSE","214 (90.3)","216 (90.0)","208 (91.2)","54 (78.3)","0.017",""
"","TRUE","23 (9.7)","24 (10.0)","20 (8.8)","15 (21.7)","",""
"ever_Horm (%)","FALSE","224 (94.5)","237 (98.8)","223 (97.8)","59 (85.5)","<0.001",""
"","TRUE","13 (5.5)","3 (1.2)","5 (2.2)","10 (14.5)","",""
"ever_Anc (%)","FALSE","100 (42.2)","157 (65.4)","143 (62.7)","32 (46.4)","<0.001",""
"","TRUE","137 (57.8)","83 (34.6)","85 (37.3)","37 (53.6)","",""
"ever_Other (%)","FALSE","237 (100.0)","240 (100.0)","228 (100.0)","69 (100.0)","NA",""
