"","Low","High","p","test"
"n"," 1406","  471","",""
"BMI (median [IQR])","26.41 [22.89, 30.22]","26.79 [22.90, 30.90]"," 0.401","nonnorm"
"Age (median [IQR])","64.01 [57.09, 70.57]","63.75 [57.46, 71.99]"," 0.466","nonnorm"
"Sex = Male (%)","  654 (46.5) ","  217 ( 46.1) "," 0.910",""
"Stage (%)"," ","  "," 0.277",""
"   I","  419 (30.0) ","  128 ( 27.4) ","",""
"   II","  310 (22.2) ","   95 ( 20.3) ","",""
"   III","  260 (18.6) ","   90 ( 19.2) ","",""
"   IV","  183 (13.1) ","   60 ( 12.8) ","",""
"   Unknown","  225 (16.1) ","   95 ( 20.3) ","",""
"Histology = Squamous Cell Carcinoma (%)","  356 (30.3) ","  131 ( 31.6) "," 0.647",""
"Race (%)"," ","  "," 0.647",""
"   Asian Indian","    3 ( 0.2) ","    0 (  0.0) ","",""
"   Black","   69 ( 4.9) ","   29 (  6.2) ","",""
"   Chinese","    4 ( 0.3) ","    0 (  0.0) ","",""
"   Filipino","    1 ( 0.1) ","    1 (  0.2) ","",""
"   Indigenous","    4 ( 0.3) ","    1 (  0.2) ","",""
"   Japanese","    1 ( 0.1) ","    0 (  0.0) ","",""
"   Korean","    3 ( 0.2) ","    0 (  0.0) ","",""
"   Other","   14 ( 1.0) ","    6 (  1.3) ","",""
"   Other Asian, including Asian, NOS and Oriental, NOS","    4 ( 0.3) ","    3 (  0.6) ","",""
"   Pacific Islander, NOS","    2 ( 0.1) ","    0 (  0.0) ","",""
"   Unknown/Not Reported","    4 ( 0.3) ","    3 (  0.6) ","",""
"   Vietnamese","    1 ( 0.1) ","    0 (  0.0) ","",""
"   White"," 1272 (90.5) ","  416 ( 88.3) ","",""
"   Unknown","   24 ( 1.7) ","   12 (  2.5) ","",""
"RadiationTherapyInd = Yes (%)","  623 (44.3) ","  208 ( 44.2) "," 0.988",""
"Primary_Met = Metastatic (%)","  260 (18.5) ","   68 ( 14.4) "," 0.053",""
"status_f = Death (%)","  510 (36.3) ","  189 ( 40.1) "," 0.149",""
"diagsurvtime (median [IQR])"," 2.66 [1.30, 5.02]"," 2.48 [1.23, 4.26]"," 0.012","nonnorm"
"SmokingStatus (%)"," ","  "," 0.127",""
"   Never","  215 (15.7) ","   75 ( 16.2) ","",""
"   Former/Ever","  796 (58.2) ","  273 ( 59.1) ","",""
"   Current","  285 (20.8) ","  102 ( 22.1) ","",""
"   Unknown","   72 ( 5.3) ","   12 (  2.6) ","",""
"CAlevel = High (%)","    0 ( 0.0) ","  471 (100.0) ","<0.001",""
